LivroID,Titulo,Tema,Disciplina,Curso,CursoID,IES,Disponibilidade,Situação,Detalhe,Categoria
257,LINGUAGEM DE PROGRAMAÇÃO I,LINGUAGEM DE PROGRAMAÇÃO ,Linguagem de Programação I ,INFORMATICA,1,A,1,Versão para Web,191,
258,Linguagem de Programação II,Linguagem de Programação II,LINGUAGEM DE PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Md5Duplicado,196,
259,Linguagem de Programação Orientada a Objetos,Linguagem de Programação Orientada a Objetos,LINGUAGEM DE PROGRAMAÇÃO ORIENTADA A OBJETOS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Programação
260,LINGUAGEM DE PROGRAMAÇÃO ORIENTADA A OBJETOS ,LINGUAGEM DE PROGRAMAÇÃO ORIENTADA A OBJETOS ,LINGUAGEM DE PROGRAMAÇÃO ORIENTADA A OBJETOS,TECNOLOGIA EM SISTEMA PARA INTERNET,3,B,0,Indisponível,,
262,Linguagem de Programação para WEB,Linguagem de Programação para WEB,LINGUAGEM DE PROGRAMAÇÃO PARA WEB,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Programação
263,Linguagem de Programação Visual,Linguagem de Programação Visual,LINGUAGEM DE PROGRAMAÇÃO VISUAL,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Programação
264,LINGUAGEM E PROGRAMAÇÃO I,LINGUAGEM E PROGRAMAÇÃO I,Liguagem de Programação I,COMPUTACAO,5,D,1,Selecionado para o Corpus,,Programação
265,LINGUAGEM E PROGRAMAÇÃO II,LINGUAGEM E PROGRAMAÇÃO II,Linguagem de Programação II,COMPUTACAO,5,D,1,Selecionado para o Corpus,,Programação
267,Lista 1 de Exercícios da Disciplina Sistemas Inteligentes,Lista 1 de Exercícios da Disciplina Sistemas Inteligentes,Sistemas Inteligentes,TECNOLOGIAS E SISTEMAS DE INFORMACAO,7,F,1,Md5Duplicado,255,
272,Lógica de Programação,Lógica de Programação,LÓGICA DE PROGRAMAÇÃO ,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,4,C,1,Selecionado para o Corpus,,Programação
273,Material Impresso - Auditoria e Segurança de Sistemas,Auditoria e Seguranaça de Sistemas,AUDITORIA E SEGURANÇA DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Edição Descartada,163,
274,Material Impresso - Informática e Sociedade,Informática e Sociedade,INFORMÁTICA E SOCIEDADE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Multidisciplinar,,
275,Material Impresso - Programação I,Programação I,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Versão para Web,199,
276,Material Impresso - Programação para Internet,Programação para Internet,PROGRAMAÇÃO PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Edição Descartada,203,
277,Material Impresso - Projeto de Sistemas para Internet,Projeto de Sistemas para Internet,PROJETO DE SISTEMAS PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,2,A,1,Selecionado para o Corpus,,Sistemas
279,PESQUISA E ORDENAÇÃO DE DADOS,PESQUISA E ORDENAÇÃO DE DADOS,Pesquisa e Ordenação de Dados,COMPUTACAO,5,D,1,Selecionado para o Corpus,,Estrutura de Dados
