b,Titulo,Tema,Disciplina,Curso,Chamada UAB,IES
170,Fascículo da disciplina de Algoritmos,Algoritmos ,Algoritmos,INFORMATICA,UAB,IFES
171,Fascículo da Disciplina de Banco de Dados,Banco de Dados ,Banco de Dados,INFORMATICA,UAB,IFES
172,Fascículo da disciplina de Engenharia de Software,Engenharia de Software ,Engenharia de Software,INFORMATICA,UAB,IFES
173,Fascículo de Linguagem de Programação II ,Linguagem de Programação II ,Linguagem de Programação II,INFORMATICA,UAB,IFES
174,Fascículo ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,Engenharia de Software,INFORMATICA,UAB,IFES
175,Fascículo ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,Engenharia de Software,INFORMATICA,UAB,IFES
176,Fascículo ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
177,Fascículo ENGENHARIA DE SOFTWARE ,ENGENHARIA DE SOFTWARE ,ENGENHARIA DE SOFTWARE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
178,Fascículo ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
179,Fascículo ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
180,Fascículo Fundamentos de Sistemas de Informação,Fundamentos de Sistemas de Informação,Fundamentos de Sistemas de Informação ,INFORMATICA,UAB,IFES
181,Fascículo Fund. Sistemas de Informação,Fundamentos de Sistemas de Informação,Fundamentos de Sistemas de Informação ,INFORMATICA,UAB,IFES
182,Fascículo Informática em Gestão Escolar ,Informática em Gestão Escolar,Informática em Gestão Escolar,INFORMATICA NA EDUCACAO,UAB,IFES
183,Fascículo Informática em Gestão Escolar ,Informática em Gestão Escolar,Informática em Gestão Escolar,INFORMATICA NA EDUCACAO,UAB,IFES
184,Fascículo INFORMÁTICA E SOCIEDADE,INFORMÁTICA E SOCIEDADE,INFORMÁTICA E SOCIEDADE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
185,Fascículo INFORMÁTICA E SOCIEDADE ,INFORMÁTICA E SOCIEDADE ,INFORMÁTICA E SOCIEDADE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
186,Fascículo INTRODUÇÃO À INFORMÁTICA,Introdução a Informática,Introdução a Informática,INFORMATICA,UAB,IFES
187,Fascículo INTRODUÇÃO À INFORMÁTICA,Introdução a Informática,Introdução a Informática,INFORMATICA,UAB,IFES
188,Fascículo Introdução a Organização de Computadores,Introdução a Organização de Computadores ,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
189,Fascículo Introdução a Organização de Computadores ,Introdução a Organização de Computadores,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
190,Fascículo Introdução a Organização de Computadores ,Introdução a Organização de Computadores,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
191,Fascículo LINGUAGEM DE PROGRAMAÇÃO I,Linguagem de Programação I,Linguagem de Programação I ,INFORMATICA,UAB,IFES
192,Fascículo LINGUAGEM DE PROGRAMAÇÃO I,Linguagem de Programação I,Linguagem de Programação I ,INFORMATICA,UAB,IFES
193,Fascículo LINGUAGEM DE PROGRAMAÇÃO I,Linguagem de Programação I,LINGUAGEM DE PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
194,Fascículo LINGUAGEM DE PROGRAMAÇÃO I ,Linguagem de Programação I,LINGUAGEM DE PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
195,Fascículo LINGUAGEM DE PROGRAMAÇÃO II,LINGUAGEM DE PROGRAMAÇÃO II,LINGUAGEM DE PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
196,Fascículo LINGUAGEM DE PROGRAMAÇÃO II ,LINGUAGEM DE PROGRAMAÇÃO II ,LINGUAGEM DE PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
197,Fascículo ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES ,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
198,Fascículo ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES ,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES ,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
199,Fascículo PROGRAMAÇÃO I ,PROGRAMAÇÃO I,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
200,Fascículo PROGRAMAÇÃO II,PROGRAMAÇÃO II,PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
201,Fascículo PROGRAMAÇÃO II ,PROGRAMAÇÃO II,PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
202,Fascículo PROGRAMAÇÃO II ,PROGRAMAÇÃO II ,PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
203,Fascículo PROGRAMAÇÃO PARA INTERNET,PROGRAMAÇÃO PARA INTERNET,PROGRAMAÇÃO PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
204,Fascículo PROGRAMAÇÃO PARA INTERNET ,PROGRAMAÇÃO PARA INTERNET ,PROGRAMAÇÃO PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
