b,Titulo,Tema,Disciplina,Curso,Chamada UAB,IES
286,PROJETO DE SISTEMAS PARA INTERNET,PROJETO DE SISTEMAS PARA INTERNET,PROJETO DE SISTEMAS PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
287,Redes de Computadores,Redes de Computadores,REDES DE COMPUTADORES,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
288,REDES DE COMPUTADORES,REDES DE COMPUTADORES,Redes de Computadores,COMPUTACAO,UAB,UECE
289,REDES DE COMPUTADORES,REDES DE COMPUTADORES,REDES DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
290,Segurança em Redes de Computadores,Segurança em Redes de Computadores,SEGURANÇA EM REDES DE COMPUTADORES,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
291,SERVIÇOS DE REDES DE COMPUTADORES ,SERVIÇOS DE REDES DE COMPUTADORES ,SERVIÇOS DE REDES DE COMPUTADORES,TECNOLOGIA EM SISTEMA PARA INTERNET,UAB,IFMT
292,Simuladores,Simuladores,LÓGICA DE PROGRAMAÇÃO ,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
293,Sistemas de Apoio a Decisao em Saude,Informatica em aude,SISTEMAS DE APOIO À DECISÃO,INFORMATICA EM SAUDE,UAB,UNIFESP
294,SISTEMAS DE INFORMAÇÕES GERENCIAIS,SISTEMAS DE INFORMAÇÕES GERENCIAIS,SISTEMAS DE INFORMAÇÕES GERENCIAIS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
295,SISTEMAS DE INFORMAÇÕES GERENCIAS,SISTEMAS DE INFORMAÇÕES GERENCIAS,SISTEMAS DE INFORMAÇÕES GERENCIAS,TECNOLOGIA EM SISTEMA PARA INTERNET,UAB,IFMT
296,Sistemas Inteligentes Aula 3 – Aquisição de Conhecimento,Sistemas Inteligentes Aula 3 – Aquisição de Conhecimento,Sistemas Inteligentes,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
297,Sistemas Multimídia,Sistemas Multimídia,Sistemas Multimídia,INFORMATICA NA EDUCACAO,UAB,UFMT
298,Sistemas Multimidias,Sistemas Multimidias,Sistemas Multimídia,INFORMATICA NA EDUCACAO,UAB,UFMT
299,Sistemas Operacionais,Sistemas Operacionais,SISTEMAS OPERACIONAIS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
300,Sistemas Operacionais,Sistemas Operacionais,SISTEMAS OPERACIONAIS ,TECNOLOGIA EM SISTEMA PARA INTERNET,UAB,IFMT
301,SISTEMAS OPERACIONAIS,SISTEMAS OPERACIONAIS,Sistemas Operacionais,COMPUTACAO,UAB,UECE
302,SISTEMAS OPERACIONAIS I,SISTEMAS OPERACIONAIS I,SISTEMAS OPERACIONAIS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
303,SISTEMAS OPERACIONAIS II,SISTEMAS OPERACIONAIS II,SISTEMAS OPERACIONAIS II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
304,Sistemas Operacionais - Linux,Sistemas Operacionais,SISTEMAS OPERACIONAIS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
305,Sistemas Operacionais - Windows,Sistemas Operacionais,SISTEMAS OPERACIONAIS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
306,Sist_Intel_Aula1_IntroducaoMineração de Dados,IntroducaoMineração de Dados,Sistemas Inteligentes,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
307,Sist_Intel_Aula3_Tutorial_Weka_Cubatao_2010_4a,Aprendizado de Máquina com WEKA,Sistemas Inteligentes,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
308,Softwares Educacionais,Softwares Educacionais,Softwares Educacionais,INFORMATICA NA EDUCACAO,UAB,UFMT
309,Softwares Educacionais,Softwares Educacionais,Softwares Educacionais,INFORMATICA NA EDUCACAO,UAB,UFMT
310,Softwares Educacionais,Softwares usados na educação,Softwares Educacionais,INFORMATICA NA EDUCACAO,UAB,UFMT
311,TÉCNICAS DE PROGRAMAÇÃO AVANÇADA,TÉCNICAS DE PROGRAMAÇÃO AVANÇADA,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
312,Técnicas de Programação II,Técnicas de Programação II,Técnicas de Programação II,COMPUTACAO,UAB,UFGD
313,Técnicas de Programação II,Técnicas de Programação II,Técnicas de Programação II,COMPUTACAO,UAB,UFGD
314,TECNOLOGIAS DE DADOS PARA INTERNET ,TECNOLOGIAS DE DADOS PARA INTERNET ,TECNOLOGIAS DE DADOS PARA INTERNET,TECNOLOGIA EM SISTEMA PARA INTERNET,UAB,IFMT
315,Tecnologias em Redes de Computadores,Tecnologias em Redes de Computadores,TECNOLOGIAS EM REDES DE COMPUTADORES,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
316,Teoria de Banco de Dados,Teoria de Banco de Dados,TEORIA DE BANCO DE DADOS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
317,Tutorial 1 - Conhecendo o Gimp,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
318,Tutorial 4 - Como criar um CSS externo,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
319,Tutorial 5 - Como criar outras páginas do webquest,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
320,Tutorial 6 - Como hospedar seu webquest,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
321,Tutorial BrModelo,Banco de Dados ,Banco de Dados,INFORMATICA,UAB,IFES
322,Tutorial de instalação do PostgreSQL 9.1,Banco de Dados ,Banco de Dados,INFORMATICA,UAB,IFES
323,Tutorial - Uso do Wiki na atividade em grupo,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
324,Vídeo Apresentação,Auditoria e Seguranaça de Sistemas,AUDITORIA E SEGURANÇA DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
325,Vídeo Apresentação,Informática e Sociedade,INFORMÁTICA E SOCIEDADE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
326,Vídeo Apresentação,Introdução a Informática: Computador Ferramenta,Introdução a Informática: computador ferramenta,INFORMATICA NA EDUCACAO,UAB,IFES
327,Vídeo Apresentação,Programação I,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
328,Vídeo Apresentação,Programação para Internet,PROGRAMAÇÃO PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
329,Vídeo Apresentação,Projeto de Sistemas para Internet,PROJETO DE SISTEMAS PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
330,Video apresentação da disciplina,Acessibilidade e Informática na Escola Inclusiva ,Acessibilidade e Informática na Escola Inclusiva,INFORMATICA NA EDUCACAO,UAB,IFES
331,Video apresentação da disciplina,Algoritmos,Algoritmos,INFORMATICA,UAB,IFES
332,Video apresentação da disciplina,Aplicativos Computacionais ,Sistemas Operacionais ,INFORMATICA,UAB,IFES
333,Video apresentação da disciplina,AUDITORIA E SEGURANÇA DE SISTEMAS,AUDITORIA E SEGURANÇA DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
334,Video apresentação da disciplina,BANCO DE DADOS I ,BANCO DE DADOS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
335,Video apresentação da disciplina,BANCO DE DADOS II,BANCO DE DADOS II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
336,Video apresentação da disciplina,ENGENHARIA DE SOFTWARE ,ENGENHARIA DE SOFTWARE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
337,Video apresentação da disciplina,ENGENHARIA DE SOFTWARE ,ENGENHARIA DE SOFTWARE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
338,Video apresentação da disciplina,ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
339,Video apresentação da disciplina,Fundamentos de Sistemas de Informação ,Fundamentos de Sistemas de Informação ,INFORMATICA,UAB,IFES
340,Video apresentação da disciplina,Informática em Gestão Escolar,Informática em Gestão Escolar,INFORMATICA NA EDUCACAO,UAB,IFES
341,Video apresentação da disciplina,INFORMÁTICA E SOCIEDADE ,INFORMÁTICA E SOCIEDADE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
342,Video apresentação da disciplina,Introdução a Informática ,Introdução a Informática,INFORMATICA,UAB,IFES
343,Video apresentação da disciplina,Introdução a Informática: computador ferramenta,Introdução a Informática: computador ferramenta,INFORMATICA NA EDUCACAO,UAB,IFES
344,Video apresentação da disciplina,Introdução a Informática: computador ferramenta,Introdução a Informática: computador ferramenta,INFORMATICA NA EDUCACAO,UAB,IFES
345,Video apresentação da disciplina,Introdução a Informática: computador ferramenta ,Introdução a Informática: computador ferramenta,INFORMATICA NA EDUCACAO,UAB,IFES
346,Video apresentação da disciplina,Introdução a Organização de Computadores ,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
347,Video apresentação da disciplina,Linguagem de Programação I,Linguagem de Programação I ,INFORMATICA,UAB,IFES
348,Video apresentação da disciplina,Linguagem de Programação I,LINGUAGEM DE PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
349,Video apresentação da disciplina,Linguagem de Programação II ,Linguagem de Programação II,INFORMATICA,UAB,IFES
350,Video apresentação da disciplina,LINGUAGEM DE PROGRAMAÇÃO II,LINGUAGEM DE PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
351,Video apresentação da disciplina,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
352,Video apresentação da disciplina,PROGRAMAÇÃO I ,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
353,Video apresentação da disciplina,PROGRAMAÇÃO II,PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
354,Video apresentação da disciplina,PROGRAMAÇÃO II,PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
355,Video apresentação da disciplina,PROGRAMAÇÃO PARA INTERNET,PROGRAMAÇÃO PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
356,Video apresentação da disciplina,PROJETO DE SISTEMAS PARA INTERNET,PROJETO DE SISTEMAS PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
357,Video apresentação da disciplina,Redes de Computadores,Redes de Computadores,INFORMATICA,UAB,IFES
358,Video apresentação da disciplina,Redes de Computadores,REDES DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
359,Video apresentação da disciplina,SISTEMAS DE INFORMAÇÕES GERENCIAIS,SISTEMAS DE INFORMAÇÕES GERENCIAIS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
360,Video apresentação da disciplina,Sistemas Operacionais I,SISTEMAS OPERACIONAIS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
361,Video apresentação da disciplina,SISTEMAS OPERACIONAIS II,SISTEMAS OPERACIONAIS II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
362,Video apresentação da disciplina,SISTEMAS OPERACIONAIS II ,SISTEMAS OPERACIONAIS II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
363,Video apresentação da disciplina,Software Educacional e Objetos de Aprendizagem ,Software Educacional e Objetos de Aprendizagem,INFORMATICA NA EDUCACAO,UAB,IFES
364,Vídeoaula - Capítulo 7,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
365,Vídeoaula - Capítulo 8,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
366,Vídeoaula - Capítulo 9,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
367,Vídeoaula: Criação de Classes e Métodos Abstratos,Linguagem de Programação II ,Linguagem de Programação II,INFORMATICA,UAB,IFES
368,Videoaula da disciplina,Introdução a Organização de Computadores ,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
369,Videoaula da disciplina - abertura da lição 1,Introdução a Organização de Computadores ,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
370,Videoaula da disciplina - abertura da lição 2,Introdução a Organização de Computadores ,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
371,Videoaula da disciplina - abertura da lição 3,Introdução a Organização de Computadores ,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
372,Videoaula da disciplina - abertura da lição 4,Introdução a Organização de Computadores ,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
373,Videoaula da disciplina - abertura da lição 5,Introdução a Organização de Computadores ,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
374,Videoaula da disciplina - abertura da lição 6,Introdução a Organização de Computadores ,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
375,Videoaula da disciplina Aspectos Constitucionais do Uso da Informática,ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
376,Videoaula da disciplina Propriedade Intelectual - Parte I ,ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
377,Videoaula da disciplina Propriedade Intelectual - Parte II,ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,ÉTICA E LEGISLAÇÃO EM INFORMÁTICA,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
378,Vídeoaula de auxílio à Tarefa 1: Heranças e Encapsulamentos,Linguagem de Programação II ,Linguagem de Programação II,INFORMATICA,UAB,IFES
379,Vídeoaula de auxílio à Tarefa 2: Estrutura de Dados,Linguagem de Programação II ,Linguagem de Programação II,INFORMATICA,UAB,IFES
380,Vídeoaula de auxílio à Tarefa 3: Interface Gráfica Swing parte 1,Linguagem de Programação II ,Linguagem de Programação II,INFORMATICA,UAB,IFES
381,Vídeoaula de auxílio à Tarefa 4: Interface Gráfica Swing parte 2,Linguagem de Programação II ,Linguagem de Programação II,INFORMATICA,UAB,IFES
382,Vídeoaula de Introdução à Java,Linguagem de Programação II ,Linguagem de Programação II,INFORMATICA,UAB,IFES
383,Vídeo Aula - Introdução à Engenharia de Software,Engenharia de Software ,Engenharia de Software,INFORMATICA,UAB,IFES
384,Vídeo Aula - Revisão,Linguagem de Programação I,Linguagem de Programação I ,INFORMATICA,UAB,IFES
385,Vídeoaula: Revisão para a prova 2,Linguagem de Programação II ,Linguagem de Programação II,INFORMATICA,UAB,IFES
386,Vídeoaula sobre Áudio 1,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
387,Vídeoaula sobre Áudio 2,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
388,Vídeoaula sobre Áudio 3,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
389,Vídeoaula sobre Blog 1,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
390,Vídeoaula sobre Blog 2 ,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
391,Vídeoaula sobre CSS 2,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
392,Vídeoaula sobre CSS 3,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
393,Vídeoaula sobre HTML 1 ,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
394,Vídeoaula sobre HTML 10,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
395,Vídeoaula sobre HTML 2,Sistemas Multimídia,Sistemas Multimídia,INFORMATICA,UAB,IFES
396,Vídeoaula sobre HTML 3 ,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
397,Vídeoaula sobre HTML 4,Sistemas Multimídia,Sistemas Multimídia,INFORMATICA,UAB,IFES
398,Vídeoaula sobre HTML 5,Sistemas Multimídia,Sistemas Multimídia,INFORMATICA,UAB,IFES
399,Vídeoaula sobre HTML 6,Sistemas Multimídia,Sistemas Multimídia,INFORMATICA,UAB,IFES
400,Vídeoaula sobre HTML 7,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
401,Vídeoaula sobre HTML 8,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
402,Vídeoaula sobre HTML 9 ,Sistemas Multimídia,Sistemas Multimídia,INFORMATICA,UAB,IFES
403,Vídeoaula sobre Imagens 1 ,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
404,Vídeoaula sobre Imagens 2,Sistemas Multimídia,Sistemas Multimídia,INFORMATICA,UAB,IFES
405,Vídeoaula sobre Imagens 3,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
406,Vídeoaula sobre Imagens 4,Sistemas Multimídia,Sistemas Multimídia,INFORMATICA,UAB,IFES
407,Vídeoaula sobre Imagens 5,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
408,Vídeoaula sobre Imagens 6,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
409,Vídeoaula sobre Imagens 7,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
410,Vídeoaula sobre Inkspace 1,Sistemas Multimídia,Sistemas Multimídia,INFORMATICA,UAB,IFES
411,Vídeoaula sobre Inkspace 2,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
412,Vídeoaula sobre Inkspace 3,Sistemas Multimídia,Sistemas Multimídia,INFORMATICA,UAB,IFES
413,Vídeoaula sobre Inkspace 4,Sistemas Multimídia,Sistemas Multimídia,INFORMATICA,UAB,IFES
414,Vídeoaula sobre Inkspace 5,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
415,Vídeoaula sobre Inkspace 6,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
416,Vídeoaula sobre sistemas de cores,Sistemas Multimídia,Sistemas Multimídia,INFORMATICA,UAB,IFES
417,Vídeo de apresentação da disciplina,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
418,Video de apresentação da disciplina de Acessibilidade e Informática na Escola Inclusiva,Acessibilidade e Informática na Escola Inclusiva ,Acessibilidade e Informática na Escola Inclusiva,INFORMATICA NA EDUCACAO,UAB,IFES
419,Vídeo de apresentação da disciplina de Algoritmos,Algoritmos,Algoritmos,INFORMATICA,UAB,IFES
420,Vídeo de apresentaçăo da disciplina de Análise de sistemas,ANÁLISE DE SISTEMAS ,ANÁLISE DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
421,Vídeo de Apresentação da disciplina de Banco de Dados,Banco de Dados ,Banco de Dados,INFORMATICA,UAB,IFES
422,Video de apresentação da disciplina de computador ferramenta,Introdução a Informática,Introdução a Informática: computador ferramenta,INFORMATICA NA EDUCACAO,UAB,IFES
423,Video de apresentação da disciplina de computador ferramenta,Introdução a Informática: computador ferramenta ,Introdução a Informática: computador ferramenta,INFORMATICA NA EDUCACAO,UAB,IFES
424,Vídeo de Apresentação da disciplina de Engenharia de Software,Engenharia de Software ,Engenharia de Software,INFORMATICA,UAB,IFES
425,Video de apresentaçăo da disciplina de Informática em Gestăo Escolar,Informática em Gestão Escolar ,Informática em Gestão Escolar,INFORMATICA NA EDUCACAO,UAB,IFES
426,Video de apresentação da disciplina de Informática em Gestão Escolar,Informática em Gestão Escolar,Informática em Gestão Escolar,INFORMATICA NA EDUCACAO,UAB,IFES
427,Video de apresentação da disciplina de Introdução a Organização de Computadores,Introdução a organização de computadores,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
428,Video de apresentação da disciplina de Introdução a Organização de Computadores,Introdução a Organização de Computadores,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
429,Video de apresentação da disciplina de Introdução a Organização de Computadores,Introdução a Organização de Computadores ,Introdução a Organização de Computadores,INFORMATICA NA EDUCACAO,UAB,IFES
430,Vídeo de apresentação da disciplina de Linguagem de Programação II,Linguagem de Programação II ,Linguagem de Programação II,INFORMATICA,UAB,IFES
431,Video de apresentação da disciplina de Organização Estruturada de Computadores,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES ,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
432,Video de apresentação da disciplina de Programação 2,PROGRAMAÇÃO II ,PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
433,Vídeo de apresentação da disciplina de Sistemas de Informação Gerenciais,SISTEMAS DE INFORMAÇÕES GERENCIAIS ,SISTEMAS DE INFORMAÇÕES GERENCIAIS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
434,Vídeo de Apresentação da disciplina de Sistemas Multimídia,Sistemas Multimídia,Sistemas Multimídia,INFORMATICA,UAB,IFES
435,Vídeo de apresentaçăo da disciplina de Sistemas Operacionais,SISTEMAS OPERACIONAIS,SISTEMAS OPERACIONAIS I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
436,Video de apresentação da disciplina de Software Educacional e Objetos de Aprendizagem,Software Educacional e Objetos de Aprendizagem ,Software Educacional e Objetos de Aprendizagem,INFORMATICA NA EDUCACAO,UAB,IFES
437,Video de apresentação da disciplina de Software Educacional e Objetos de Aprendizagem,Software Educacional e Objetos de Aprendizagem ,Software Educacional e Objetos de Aprendizagem,INFORMATICA NA EDUCACAO,UAB,IFES
438,Vídeo de apresentaçăo da disciplina de técnicas de programação avançada,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS ,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
439,Vídeo de Apresentação da disciplina Fundamentos de Sistemas de Informação,Fundamentos de Sistemas de Informação ,Fundamentos de Sistemas de Informação ,INFORMATICA,UAB,IFES
440,Vídeo de apresentação da disciplina Linguagem de Programação |,Linguagem de Programação I ,Linguagem de Programação I ,INFORMATICA,UAB,IFES
441,Vídeo de Introdução,Linguagem de Programação I ,Linguagem de Programação I ,INFORMATICA,UAB,IFES
442,Vídeo introdutório: Classificação de Softwares Educativos,Software Educacional e Objetos de Aprendizagem ,Software Educacional e Objetos de Aprendizagem,INFORMATICA NA EDUCACAO,UAB,IFES
443,Vídeo introdutório: Classificação de Softwares Educativos,Software Educacional e Objetos de Aprendizagem ,Software Educacional e Objetos de Aprendizagem,INFORMATICA NA EDUCACAO,UAB,IFES
444,Video Tutorial - Apostila Cap05 - Exercício 03.a - Resolução,Algoritmos,Algoritmos,INFORMATICA,UAB,IFES
445,Video Tutorial - Armazenamento em Cache parte 1,Introdução a Informática ,Introdução a Informática,INFORMATICA,UAB,IFES
446,Video Tutorial - Armazenamento em Cache parte 2,Introdução a Informática ,Introdução a Informática,INFORMATICA,UAB,IFES
447,Video Tutorial Baixar e Instalar,Aplicativos Computacionais ,Sistemas Operacionais ,INFORMATICA,UAB,IFES
448,Video tutorial - BlueJ,LINGUAGEM DE PROGRAMAÇÃO II,LINGUAGEM DE PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
449,Vídeo Tutorial Calc (parte 1),Aplicativos Computacionais ,Sistemas Operacionais ,INFORMATICA,UAB,IFES
450,Video Tutorial Calc (parte 2),Aplicativos Computacionais ,Sistemas Operacionais ,INFORMATICA,UAB,IFES
451,Video Tutorial - Caminho de dados,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES,ORGANIZAÇÃO ESTRUTURADA DE COMPUTADORES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
452,Video Tutorial Compilar e Executar 1º projeto,PROGRAMAÇÃO I,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
453,Video Tutorial Corrida Espacial,Introdução a Informática ,Introdução a Informática,INFORMATICA,UAB,IFES
454,Video Tutorial Criar 1º Projeto Dev C++ ,PROGRAMAÇÃO I,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
455,Video Tutorial -Diferenças entre Impressoras,Introdução a Informática ,Introdução a Informática,INFORMATICA,UAB,IFES
456,Video Tutorial Discos Rígidos,Introdução a Informática ,Introdução a Informática,INFORMATICA,UAB,IFES
457,Video Tutorial Disquetes,Introdução a Informática ,Introdução a Informática,INFORMATICA,UAB,IFES
458,Video Tutorial ENIAC,Introdução a Informática ,Introdução a Informática,INFORMATICA,UAB,IFES
459,Video Tutorial - Estruturas de Decisão - if..else,Linguagem de Programação I ,Linguagem de Programação I ,INFORMATICA,UAB,IFES
460,Video Tutorial - Estruturas de Decisão - if..else..if,Linguagem de Programação I ,Linguagem de Programação I ,INFORMATICA,UAB,IFES
461,Video Tutorial - Estruturas de Decisão - switch,Linguagem de Programação I ,Linguagem de Programação I ,INFORMATICA,UAB,IFES
462,Video Tutorial - Estruturas de Repetição - do..while,Linguagem de Programação I ,Linguagem de Programação I ,INFORMATICA,UAB,IFES
463,Video Tutorial - Estruturas de Repetição - while,Linguagem de Programação I ,Linguagem de Programação I ,INFORMATICA,UAB,IFES
